text
"### Prompt:평화로운
### Answer:여유롭고 평화로운 오후의 한강 공원."
"### Prompt:사랑하는
### Answer:수지 왜 그래 또... (달래듯 ) 재준아 , 내가 너 사랑하는 거 알지? 다시 전화 할게. 끊어~"
"### Prompt:스러
### Answer:기다렸다는 듯 방긋 웃으며 닭살스러운 포즈를 취하는 수지와 상봉."
"### Prompt:소름
### Answer:사진사 오~케, 좋~아, 더 소름끼치게 !"
"### Prompt:긴장
### Answer:모두들 침착한 몸놀림이지만 긴장감이 묻어난다 ."
"### Prompt:기대
### Answer:유람선 난간에 기대 나란히 한강변을 바라보는 박상호와 X."
"### Prompt:그리
### Answer:홍팀장 , 상봉, 그리고 요원들의 난감한 표정이 빠르게 교차되다가 ,"
"### Prompt:무서운
### Answer:3명의 외국인 남자가 탄 보트, 무서운 속도로 달려와 뜰채로 CD 케이스를 건져 달아난다 ."
"### Prompt:이상
### Answer:수지가 이상하다는 듯 자기 허벅지를 내려다본다 . 하얗고 매끈한 허벅지 ..."
"### Prompt:그리
### Answer:긴 포물선을 그리며 날아가는 수지, 보트 위로 거칠게 착지한다 ."
"### Prompt:서운한
### Answer:너한테 서운했던 거 다 잊었어 . 아니 이제는 서운한 거 없어... 올 때까지 조금만 기다려 줘."
"### Prompt:사랑
### Answer:재준 도착하면 전화 할게... 사랑해 영원히 ... 피부 관리 좀 해."
"### Prompt:사랑
### Answer:재준 사랑은 개뿔, 니가 사랑을 알아?"
"### Prompt:멍한
### Answer:피자를 건네주고 돌아서던 배달부가 멍한 표정으로 멀어지는 수지를 바라본다 ."
"### Prompt:놀라
### Answer:사람들이 수지 모습을 보고 놀라 물러서는데 , 수지는 아랑곳 않고 소리를 지른다 ."
"### Prompt:사랑
### Answer:야 이 나쁜 새끼야 , 내가 너 사랑한다니까 ~"
"### Prompt:어이없
### Answer:취하여 도심을 질주하는 어이없는 사건이 발생했습니다 . 이 여인은 공항까지 진입해 난동을 부리"
"### Prompt:그리
### Answer:날렵한 체격의 러시아 남자(빅또르 ), 그리고 조금 떨어진 곳에서 입국 심사를 기다리는 재"
"### Prompt:괜찮
### Answer:장남만 아니면 다 괜찮아 . 뭐가 문제야 ?"
"### Prompt:생기
### Answer:수지가 잘생기고 매너 좋은 삼성전자 과장과 저녁을 먹고 있다."
"### Prompt:행복한
### Answer:삼성맨은 수지의 스테이크를 먹기 좋게 잘라주고 , 수지는 행복한 미소를 짓는다 ."
"### Prompt:싫어하는
### Answer:삼성맨 선수 싫어하는 여자들 대부분은 맏딸이라던데 , 맞아요 ?"
"### Prompt:푸근
### Answer:삼성맨 그럴 것 같았어요 . 수지씨 만나면 왠지 모르게 그냥 푸근해 지더라구요 . "
"### Prompt:푸근
### Answer:수지근데언니,여자보고푸근하다는게좋은거야나쁜거야?"
"### Prompt:감사
### Answer:프로젝트의 수석 연구원입니다 . 현재 연구비 유용 혐의로 내부 감사를 받고 있는데 , 3주 전 발생"
"### Prompt:스러
### Answer:너무 자연스러운 모습에 지나치는 사람 누구도 수지를 의심하는 사람이 없다."
"### Prompt:달콤
### Answer:홍팀장어머님이새콤달콤한거먹고싶다고하시면가락시장까지가서오렌지사오던인간이,내가"
"### Prompt:사랑
### Answer:홍팀장 (F) 그 땐 내가 뭘 알았니 ? 사랑하면 다 되는 줄 알았지 . 왼쪽으로 15도 돌려봐 ."
"### Prompt:놀라
### Answer:수지가 깜짝 놀라 헤드셋을 빼고 귀를 후빈다 .13.연구실 / 낮"
"### Prompt:가벼
### Answer:홍팀장이 장난감 권총보다 더 작고 가벼워 보이는 총을 수지에게 준다."
"### Prompt:이상
